,tweet_id,timestamp,rating_numerator,rating_denominator,favorite_count,retweet_count,DoggoLingo,dog_species
1,892177421306343426,2017-08-01 00:17:27 +0000,13,10,33648.0,6426.0,,Chihuahua
2,891815181378084864,2017-07-31 00:18:03 +0000,12,10,25343.0,4268.0,,Chihuahua
3,891689557279858688,2017-07-30 15:58:51 +0000,13,10,42663.0,8858.0,,Labrador_retriever
4,891327558926688256,2017-07-29 16:00:24 +0000,12,10,40812.0,9639.0,,basset
5,891087950875897856,2017-07-29 00:08:17 +0000,13,10,20456.0,3210.0,,Chesapeake_Bay_retriever
6,890971913173991426,2017-07-28 16:27:12 +0000,13,10,12002.0,2125.0,,Appenzeller
7,890729181411237888,2017-07-28 00:22:40 +0000,13,10,66364.0,19407.0,,Pomeranian
8,890609185150312448,2017-07-27 16:25:51 +0000,13,10,28088.0,4364.0,,Irish_terrier
9,890240255349198849,2017-07-26 15:59:51 +0000,14,10,32324.0,7613.0,doggo,Pembroke
10,890006608113172480,2017-07-26 00:31:25 +0000,13,10,30986.0,7523.0,,Samoyed
11,889880896479866881,2017-07-25 16:11:53 +0000,13,10,28090.0,5081.0,,French_bulldog
12,889665388333682689,2017-07-25 01:55:32 +0000,13,10,47831.0,10206.0,puppo,Pembroke
13,889638837579907072,2017-07-25 00:10:02 +0000,12,10,27500.0,4661.0,,French_bulldog
14,889531135344209921,2017-07-24 17:02:04 +0000,13,10,15279.0,2289.0,puppo,golden_retriever
15,889278841981685760,2017-07-24 00:19:32 +0000,13,10,25607.0,5583.0,,whippet
16,888917238123831296,2017-07-23 00:22:39 +0000,12,10,29430.0,4642.0,,golden_retriever
17,888804989199671297,2017-07-22 16:56:37 +0000,13,10,25909.0,4489.0,,golden_retriever
18,888554962724278272,2017-07-22 00:23:06 +0000,13,10,20177.0,3694.0,,Siberian_husky
20,888078434458587136,2017-07-20 16:49:33 +0000,12,10,22044.0,3609.0,,French_bulldog
21,887705289381826560,2017-07-19 16:06:48 +0000,13,10,30562.0,5543.0,,basset
23,887473957103951883,2017-07-19 00:47:34 +0000,13,10,70000.0,18746.0,,Pembroke
24,887343217045368832,2017-07-18 16:08:03 +0000,13,10,34076.0,10637.0,,Mexican_hairless
25,887101392804085760,2017-07-18 00:07:08 +0000,12,10,30924.0,6111.0,,Samoyed
26,886983233522544640,2017-07-17 16:17:36 +0000,13,10,35615.0,7975.0,,Chihuahua
27,886736880519319552,2017-07-16 23:58:41 +0000,13,10,12226.0,3387.0,,kuvasz
29,886366144734445568,2017-07-15 23:25:31 +0000,12,10,21387.0,3266.0,pupper,French_bulldog
31,886258384151887873,2017-07-15 16:17:19 +0000,13,10,28318.0,6457.0,,pug
33,885984800019947520,2017-07-14 22:10:11 +0000,12,10,33126.0,6992.0,,Blenheim_spaniel
34,885528943205470208,2017-07-13 15:58:47 +0000,13,10,36433.0,6599.0,,pug
37,885167619883638784,2017-07-12 16:03:00 +0000,13,10,22206.0,4491.0,,malamute
38,884925521741709313,2017-07-12 00:01:00 +0000,12,10,78587.0,19015.0,,Italian_greyhound
39,884876753390489601,2017-07-11 20:47:12 +0000,13,10,28311.0,6004.0,,chow
40,884562892145688576,2017-07-11 00:00:02 +0000,13,10,24615.0,5051.0,,pug
41,884441805382717440,2017-07-10 15:58:53 +0000,14,10,27326.0,5803.0,,Pembroke
43,884162670584377345,2017-07-09 21:29:42 +0000,12,10,20633.0,3078.0,doggo,German_shepherd
44,883838122936631299,2017-07-09 00:00:04 +0000,12,10,22156.0,3539.0,,Doberman
46,883360690899218434,2017-07-07 16:22:55 +0000,13,10,22822.0,3780.0,floofer,chow
47,883117836046086144,2017-07-07 00:17:54 +0000,13,10,37677.0,6857.0,,golden_retriever
48,882992080364220416,2017-07-06 15:58:11 +0000,13,10,24258.0,4058.0,,Eskimo_dog
49,882762694511734784,2017-07-06 00:46:41 +0000,12,10,28680.0,5052.0,pupper,Labrador_retriever
50,882627270321602560,2017-07-05 15:48:34 +0000,13,10,28236.0,6256.0,,Pembroke
51,882268110199369728,2017-07-04 16:01:23 +0000,13,10,45537.0,11919.0,,golden_retriever
52,882045870035918850,2017-07-04 01:18:17 +0000,13,10,29735.0,5129.0,,golden_retriever
53,881906580714921986,2017-07-03 16:04:48 +0000,12,10,24599.0,3491.0,,Weimaraner
54,881666595344535552,2017-07-03 00:11:11 +0000,13,10,51184.0,10969.0,,Saluki
56,881536004380872706,2017-07-02 15:32:16 +0000,14,10,50062.0,16437.0,pupper,Samoyed
59,880872448815771648,2017-06-30 19:35:32 +0000,12,10,21584.0,3929.0,,Pembroke
60,880465832366813184,2017-06-29 16:39:47 +0000,12,10,28864.0,6451.0,,golden_retriever
61,880221127280381952,2017-06-29 00:27:25 +0000,12,10,27436.0,4367.0,,Chihuahua
62,880095782870896641,2017-06-28 16:09:20 +0000,11,10,27963.0,4472.0,,miniature_pinscher
63,879862464715927552,2017-06-28 00:42:13 +0000,13,10,22543.0,3600.0,,basset
65,879492040517615616,2017-06-27 00:10:17 +0000,12,10,23679.0,3279.0,,German_short-haired_pointer
66,879415818425184262,2017-06-26 19:07:24 +0000,13,10,107310.0,45403.0,,English_springer
67,879376492567855104,2017-06-26 16:31:08 +0000,12,10,16980.0,3209.0,,Labrador_retriever
70,879008229531029506,2017-06-25 16:07:47 +0000,13,10,19193.0,2776.0,,vizsla
71,878776093423087618,2017-06-25 00:45:22 +0000,13,10,19613.0,4246.0,puppo,Italian_greyhound
75,878281511006478336,2017-06-23 16:00:04 +0000,13,10,7859.0,1332.0,,basset
76,878057613040115712,2017-06-23 01:10:23 +0000,14,10,42568.0,7076.0,,French_bulldog
77,877736472329191424,2017-06-22 03:54:17 +0000,13,10,81091.0,19775.0,,Chesapeake_Bay_retriever
79,877556246731214848,2017-06-21 15:58:08 +0000,12,10,23082.0,3943.0,,basset
